Semantics	Syntax	Semantic_classes_of_nouns	Pejorative	Chained	Associated_verbs	Left_context	Center	Punct	Right_context	Title	Author	Birthday	Header	Created	Sphere	Type	Topic	Publication	Publ_year	Full_context
Topic change	Ungoverned	Concrete		no		  Уверен, что 	 гайки 	  	гайками, а амортизаторы и шарниры 	коллективный. Форум: Реставрация и изготовление агрегатов подвески. ЧП Чулков (2011-2013) 	коллективный 	 	Форум: Реставрация и изготовление агрегатов подвески. ЧП Чулков 	2011-2013 	электронная коммуникация ,  нехудожественная 	форум 	техника, транспорт 	http://forum.sevastopol.info/viewtopic.php?f=3&t=599801&start=225 	 	 Уверен, что гайки гайками, а амортизаторы и шарниры Вы делаете все так же хорошо.  [коллективный. Форум: Реставрация и изготовление агрегатов подвески. ЧП Чулков (2011-2013)] [омонимия не снята]
Topic change	Ungoverned	Concrete		no		  	 Гены 	  	генами, а Ани для него 	Татьяна Сахарова. Добрая фея с острыми зубками (2005) 	Татьяна Сахарова 	 	Добрая фея с острыми зубками 	2005 	художественная 	роман 	 	Т. В. Сахарова. Добрая фея с острыми зубками 	2005 	 Гены генами, а Ани для него ― абсолютно чужой ребенок.  [Татьяна Сахарова. Добрая фея с острыми зубками (2005)] [омонимия не снята]
Topic change	Ungoverned	Concrete		no		   ― 	 Глаза 	  	глазами, а все же придется 	И. А. Ефремов. Час быка (1968-1969) 	И. А. Ефремов 	1908 	Час быка 	1968-1969 	художественная 	роман 	 	 	 	  ― Глаза глазами, а все же придется надевать этот металл, ― вздохнула Эвиза Танет, ― и надолго расстаться с ощущением своей кожи, ― и она провела ладонью по плечу и голой руке извечным жестом человека, с детства обученного тщательному уходу за телом.  [И. А. Ефремов. Час быка (1968-1969)] [омонимия не снята]
Extreme	Ungoverned	Human + animals		no		 рассказывали.  А на самом деле 	 гниды 	  	гнидами…   Антон выслушал рассказ Дзюбы 	Александра Маринина. Последний рассвет (2013) 	Александра Маринина 	1957 	Последний рассвет 	2013 	художественная 	роман 	 	Александра Маринина. Последний рассвет. Т. 1 	2013 	 И улыбаться будут, и приятные слова говорить, и слушать внимательно, и сочувствовать, чтобы про них потом с нежностью другим рассказывали.  А на самом деле гниды гнидами…   Антон выслушал рассказ Дзюбы внимательно.  [Александра Маринина. Последний рассвет (2013)] [омонимия не снята]
Topic change	Ungoverned	Concrete		no		  	 Года 	  	годами, образование образованием, а не 	Федор Абрамов. Дом (1973-1978) 	Федор Абрамов 	1920 	Дом 	1973-1978 	художественная 	роман 	 	Ф. Абрамов. Дом 	1984 	 Года годами, образование образованием, а не забывайся, кто говорит.  [Федор Абрамов. Дом (1973-1978)] [омонимия не снята]
Topic change	Ungoverned	Concrete		yes		  	 города 	 ―  	городами, а деревня ― деревней, я 	И. В. Омулевский. Шаг за шагом (1870) 	И. В. Омулевский 	1836 	Шаг за шагом 	1870 	художественная 	роман 	 	Библиотека сибирского романа. Том 7 	1960 	" города ― городами, а деревня ― деревней, я так смекаю; спасибо, Хрестина Каземировна научила.  [И. В. Омулевский. Шаг за шагом (1870)] [омонимия не снята]"
Topic change	Ungoverned	Concrete		no		   ― 	 Горы 	  	горами, но вы должны посмотреть 	Николай Тихонов. Белое чудо // «Огонек». №№ 18, 23, 1956 	Николай Тихонов 	1896 	Белое чудо 	1956 	художественная 	повесть 	 	«Огонек». №№ 18, 23 	1956 	  ― Горы горами, но вы должны посмотреть наш чудный город, наш Лахор, ― сказал один купец с усами такими седыми и колючими, что даже отдельные волоски их воинственно закручивались.  [Николай Тихонов. Белое чудо // «Огонек». №№ 18, 23, 1956] [омонимия не снята]
Topic change	Ungoverned	Human + animals		no		  	 Гости 	  	гостями, но, может, ещё больше 	Д. А. Гранин. Месяц вверх ногами (1966) 	Д. А. Гранин 	1919 	Месяц вверх ногами 	1966 	публицистика, нехудожественная 	очерк 	путешествия 	Гранин Д.А. Собр. соч.: В 2 т. Т. 2 	1979 	 Гости гостями, но, может, ещё больше пригородные заповедники нужны нам самим.  [Д. А. Гранин. Месяц вверх ногами (1966)] [омонимия снята]
Topic change	Ungoverned	Human + animals		no		   	 Грачи 	  	грачами, но Нюшка отлично все 	А. И. Мусатов. Большая весна (1957) 	А. И. Мусатов 	1911 	Большая весна 	1957 	художественная 	повесть 	 	Собрание сочинений в 3-х томах. Т. 3 	1978 	  Грачи грачами, но Нюшка отлично все видела.  [А. И. Мусатов. Большая весна (1957)] [омонимия не снята]
Topic change	Ungoverned	Human + animals		no		  	 Греки 	 ―  	греками, а и мы кое-что 	Евгений Лукин. Катали мы ваше солнце (1997) 	Евгений Лукин 	1950 	Катали мы ваше солнце 	1997 	художественная 	роман 	 	 	 	 Греки ― греками, а и мы кое-что можем.  [Евгений Лукин. Катали мы ваше солнце (1997)] [омонимия не снята]
Topic change	Ungoverned	Concrete		no		   	 Груши 	  	грушами, но не в них 	Андрей Белый. Петербург (1913-1914) 	Андрей Белый 	1880 	Петербург 	1913-1914 	художественная 	роман 	 	Андрей Белый. Петербург: Роман 	1999 	  Груши грушами, но не в них была сила.  [Андрей Белый. Петербург (1913-1914)] [омонимия не снята]
Topic change	Ungoverned	Concrete		yes		  	 Дежурства 	  	дежурствами, очередность очередностью, но он 	Еремей Парнов. Александрийская гемма (1990) 	Еремей Парнов 	1935 	Александрийская гемма 	1990 	художественная 	роман 	 	Е. И. Парнов. Александрийская гемма 	1992 	 Дежурства дежурствами, очередность очередностью, но он предпочитал работать с людьми, хорошо ему знакомыми.  [Еремей Парнов. Александрийская гемма (1990)] [омонимия не снята]
Topic change	Ungoverned	Concrete		no		  Все произошло иначе: 	 декларации 	  	декларациями, а борьба за власть 	Олег Панфилов. Дата, которую никто не заметит (2003) // «Независимая газета», 2003.03.12 	Олег Панфилов 	 	Дата, которую никто не заметит 	2003 	публицистика ,  нехудожественная 	статья 	политика и общественная жизнь 	«Независимая газета» 	2003.03.12 	 Все произошло иначе: декларации декларациями, а борьба за власть никак не совпадала с событиями, в которых Россия приняла активное участие: гражданские войны в Таджикистане, в Абхазии, вооруженные конфликты в Карабахе и Приднестровье.  [Олег Панфилов. Дата, которую никто не заметит (2003) // «Независимая газета», 2003.03.12] [омонимия не снята]
Topic change	Ungoverned	Concrete		no		  	 Дела 	- 	делами, а ведь надо за 	Улья Нова. Инка (2004) 	Улья Нова 	1976 	Инка 	2004 	художественная 	роман 	 	Улья Нова. Инка 	2004 	 Дела-делами, а ведь надо за делами не забыть день рождения племянницы.  [Улья Нова. Инка (2004)] [омонимия не снята]
Topic change	Ungoverned	Concrete		no		  	 Дела 	  	делами, но ЭТО дело ― самое 	Андрей Измайлов. Трюкач (2001) 	Андрей Измайлов 	1953 	Трюкач 	2001 	художественная 	роман 	 	Андрей Измайлов. Трюкач 	2001 	 Дела делами, но ЭТО дело ― самое важное…  [Андрей Измайлов. Трюкач (2001)] [омонимия не снята]
Topic change	Ungoverned	Concrete		yes		 он и думать не хотел: 	 дела 	  	делами, а семья семьей.  	Сергей Таранов. Черт за спиной (2001) 	Сергей Таранов 	1948 	Черт за спиной 	2001 	художественная 	роман 	 	Сергей Таранов. Черт за спиной 	2001 	  О своих деловых партнерах он и думать не хотел: дела делами, а семья семьей.  [Сергей Таранов. Черт за спиной (2001)] [омонимия не снята]
Topic change	Ungoverned	Concrete		no		 Квашнина.  Но слухи слухами, а 	 дела 	  	делами.   Не хотелось бы осуждать 	Геннадий Трошев. Моя война (2000-2001) 	Геннадий Трошев 	1947 	Моя война 	2000-2001 	публицистика ,  нехудожественная 	мемуары 	 	Геннадий Трошев. Моя война 	2001 	 А ведь наверняка командиры высокого ранга имели свое мнение, в том числе и относительно отстранения генерала Митюхина и назначения Квашнина.  Но слухи слухами, а дела делами.   Не хотелось бы осуждать, критиковать тех или иных политиков, многозвездных генералов за просчеты, ошибки, но некоторых оценок и характеристик не избежать.  [Геннадий Трошев. Моя война (2000-2001)] [омонимия не снята]
Topic change	Ungoverned	Concrete		yes		 это устраивало.  Лирика лирикой, а 	 дела 	  	делами.  Мария даже рассказывала мне 	Сергей Есин. Имитатор (1985) 	Сергей Есин 	1935 	Имитатор 	1985 	художественная 	повесть 	 	С. Есин. Типы 	1990 	 И нас обоих это устраивало.  Лирика лирикой, а дела делами.  Мария даже рассказывала мне о своем женихе, который сейчас в армии, но скоро демобилизуется.  [Сергей Есин. Имитатор (1985)] [омонимия не снята]
Topic change	Ungoverned	Concrete		no		  	 Дела 	  	делами, но природа вызывает восторг 	В. И. Аблазов. Дневник (1980) 	В. И. Аблазов 	1940 	Дневник 	1980 	публицистика, нехудожественная 	дневник, записные книжки 	частная жизнь, армия и вооруженные конфликты, техника, администрация и управление 	 	 	 Дела делами, но природа вызывает восторг: горная дорога, вертикальные скалы со следами гигантских царапин, чистейший ручей, агаты, рассыпанные по всей земле.  [В. И. Аблазов. Дневник (1980)] [омонимия не снята]
Topic change	Ungoverned	Concrete		no		" Я недаром ездил в Петербург; "	 дела 	  	делами, а ведь я бы 	Н. А. Тучкова-Огарева. Воспоминания (1890) 	Н. А. Тучкова-Огарева 	1829 	Воспоминания 	1890 	публицистика ,  нехудожественная 	мемуары 	 	Н. А. Тучкова-Огарева. Воспоминания 	 	"  ― Я недаром ездил в Петербург; дела делами, а ведь я бы ни за что не поверил всему этому, если б сам не был очевидцем такого горячего энтузиазма к вам.  [Н. А. Тучкова-Огарева. Воспоминания (1890)] [омонимия не снята]"
Topic change	Ungoverned	Concrete		yes		   ― 	 Дела 	 ―  	делами, знакомство ― знакомством… не так 	И. В. Омулевский. Шаг за шагом (1870) 	И. В. Омулевский 	1836 	Шаг за шагом 	1870 	художественная 	роман 	 	Библиотека сибирского романа. Том 7 	1960 	  ― Дела ― делами, знакомство ― знакомством… не так ли?  [И. В. Омулевский. Шаг за шагом (1870)] [омонимия не снята]
Topic change	Ungoverned	Concrete		yes		 господа союзники…  Дружба дружбой, а 	 денежки 	  	денежками…  Вчера мы были для 	А. Н. Толстой. Хождение по мукам/ Книга вторая. Восемнадцатый год (1928) 	А. Н. Толстой 	1883 	Хождение по мукам/ Книга вторая. Восемнадцатый год 	1928 	художественная 	роман 	 	Алексей Толстой. Хождение по мукам: Трилогия 	1987 	  ― Господа иностранные представители, ― продолжал доктор Булавин, и в голосе его появился металл, какого прежде не бывало, ― господа союзники…  Дружба дружбой, а денежки денежками…  Вчера мы были для вас почти что опереточной организацией, некоторым временным образованием, скажем ― вроде шишки, неизбежно выскакивающей после удара…  [А. Н. Толстой. Хождение по мукам/ Книга вторая. Восемнадцатый год (1928)] [омонимия не снята]
Topic change	Ungoverned	Concrete		no		  Но 	 деньги 	  	деньгами, а неприятный осадок остался 	Виктор Ремизов. Воля вольная // «Новый мир», 2013 	Виктор Ремизов 	1958 	Воля вольная 	2013 	художественная 	роман 	 	«Новый мир» 	2013 	 Но деньги деньгами, а неприятный осадок остался.  [Виктор Ремизов. Воля вольная // «Новый мир», 2013] [омонимия не снята]
Topic change	Ungoverned	Concrete		no		 Опытные американские контрразведчики говорят, что 	 деньги 	  	деньгами, а важно в таких 	Владимир Абаринов. «Крот» в мешке (2003) // «Совершенно секретно», 2003.04.08 	Владимир Абаринов 	 	«Крот» в мешке 	2003 	публицистика ,  нехудожественная 	статья 	криминал 	«Совершенно секретно» 	2003.04.08 	 Опытные американские контрразведчики говорят, что деньги деньгами, а важно в таких делах и кое-что другое.  [Владимир Абаринов. «Крот» в мешке (2003) // «Совершенно секретно», 2003.04.08] [омонимия не снята]
Topic change	Ungoverned	Concrete		no		  	 Деньги 	 ―  	деньгами, а фамилию тоже надо 	Александр Мишарин. Белый, белый день // «Октябрь», 2003 	Александр Мишарин 	 	Белый, белый день 	2003 	художественная 	роман 	 	«Октябрь» 	2003 	 Деньги ― деньгами, а фамилию тоже надо соблюдать!»  [Александр Мишарин. Белый, белый день // «Октябрь», 2003] [омонимия не снята]
Topic change	Ungoverned	Concrete		no		  Пять экспертиз.  	 Деньги 	 ―  	деньгами, симптомы ― симптомами.  Чтобы комар 	Александр Волков. Ликвидаторы // «Звезда», 2001 	Александр Волков 	1953 	Ликвидаторы 	2001 	художественная 	пьеса 	 	«Звезда» 	2001 	 Пять экспертиз.  Деньги ― деньгами, симптомы ― симптомами.  Чтобы комар носа не подточил.  [Александр Волков. Ликвидаторы // «Звезда», 2001] [омонимия не снята]
Topic change	Ungoverned	Concrete		no		   	 Деньги 	  	деньгами, но если начистоту, то 	Борис Хазанов. Циклоп (2001) 	Борис Хазанов 	1928 	Циклоп 	2001 	художественная 	рассказ 	 	Борис Хазанов. Город и сны 	2001 	  Деньги деньгами, но если начистоту, то дело было все же не только в гонораре.  [Борис Хазанов. Циклоп (2001)] [омонимия не снята]
Topic change	Ungoverned	Concrete		no		 не потому, что растут деньги, ― 	 деньги 	  	деньгами, ― но потому, что все 	Александр Яковлев. Омут памяти. Т.1 (2001) 	Александр Яковлев 	1923 	Омут памяти. Т.1 	2001 	публицистика ,  нехудожественная 	монография 	политика и общественная жизнь 	Александр Яковлев. Омут памяти. В 2-х томах. Т.1 	2001 	" И не потому, что растут деньги, ― деньги деньгами, ― но потому, что все это дело рук твоих; потому что видишь, как ты всему причина, ты творец всего, и от тебя, как от какого-нибудь мага, сыплется изобилье и добро…  [Александр Яковлев. Омут памяти. Т.1 (2001)] [омонимия не снята]"
Topic change	Ungoverned	Concrete		no		  	 Деньги 	  	деньгами, а признания потомков тоже 	Владислав Быков, Ольга Деркач. Книга века (2000) 	Владислав Быков, Ольга Деркач 	 	Книга века 	2000 	публицистика ,  нехудожественная 	монография 	политика и общественная жизнь 	Быков В., Деркач В. В. Книга века 	2001 	 Деньги деньгами, а признания потомков тоже хочется.  [Владислав Быков, Ольга Деркач. Книга века (2000)] [омонимия не снята]
Topic change	Ungoverned	Concrete		no		  	 Деньги 	  	деньгами, но если разобраться, если 	Г. Я. Бакланов. Жизнь, подаренная дважды (1999) 	Г. Я. Бакланов 	1923 	Жизнь, подаренная дважды 	1999 	публицистика ,  нехудожественная 	мемуары 	 	Григорий Бакланов. Жизнь, подаренная дважды 	1999 	 Деньги деньгами, но если разобраться, если подумать, так это ведь чести лишили: такой вам и почет.  [Г. Я. Бакланов. Жизнь, подаренная дважды (1999)] [омонимия не снята]
Topic change	Ungoverned	Concrete		no		  	 Деньги 	  	деньгами, но с нее хватит 	Алексей Грачев. Ярый против видеопиратов (1999) 	Алексей Грачев 	 	Ярый против видеопиратов 	1999 	художественная 	роман 	 	Алексей Грачев. Ярый против видеопиратов 	1999 	 Деньги деньгами, но с нее хватит и одного похищения.  [Алексей Грачев. Ярый против видеопиратов (1999)] [омонимия не снята]
Topic change	Ungoverned	Concrete		no		  	 Деньги 	  	деньгами, но о душе надо 	Алексей Слаповский. День денег (1998) 	Алексей Слаповский 	1957 	День денег 	1998 	художественная 	роман 	 	Слаповский А. День денег 	2000 	 Деньги деньгами, но о душе надо подумать или нет?  [Алексей Слаповский. День денег (1998)] [омонимия не снята]
Topic change	Ungoverned	Concrete		no		 И не в деньгах дело ― 	 деньги 	  	деньгами, но главное ― простор, предложения 	Виктор Некрасов. Маленькая печальная повесть (1986) 	Виктор Некрасов 	1911 	Маленькая печальная повесть 	1986 	художественная 	повесть 	 	В. Некрасов «Написано карандашом» 	1990 	 И не в деньгах дело ― деньги деньгами, но главное ― простор, предложения, выбирай только.  [Виктор Некрасов. Маленькая печальная повесть (1986)] [омонимия не снята]
Topic change	Ungoverned	Concrete		no		 его веселит сама работа, что 	 деньги 	  	деньгами, но еще важнее сознавать 	Александр Воронский. Гоголь (1934) 	Александр Воронский 	1884 	Гоголь 	1934 	учебно-научная ,  нехудожественная 	биография 	наука и технологии, искусство и культура 	ЖЗЛ 	1934 	 Он также любил разные вещицы, накупал их, дарил, возился в ними, кроил жилеты, платья, рисовал узоры ковров, вышивал, сажал деревья, вникал в постройки: Костанжогло выдает мысли самого Гоголя, когда говорит, что его веселит сама работа, что деньги деньгами, но еще важнее сознавать себя творцом и магом, от которого сыплется изобилие.  [Александр Воронский. Гоголь (1934)] [омонимия не снята]
Topic change	Ungoverned	Concrete		no		 для него революция революцией, а 	 деньги 	  	деньгами.  	К. И. Чуковский. К годовщине потемкинских дней (Воспоминания очевидца) // «Биржевые ведомости», 1906 	К. И. Чуковский 	1882 	К годовщине потемкинских дней (Воспоминания очевидца) 	1906 	публицистика ,  нехудожественная 	статья 	искусство и культура 	«Биржевые ведомости» 	1906 	 Он слушает речи ораторов, и по глазам его видно, что для него революция революцией, а деньги деньгами.  [К. И. Чуковский. К годовщине потемкинских дней (Воспоминания очевидца) // «Биржевые ведомости», 1906] [омонимия не снята]
Topic change	Ungoverned	Concrete		no		 кто телегу, кто снасть какую-нибудь…  	 Деньги 	  	деньгами, да еще отработай…  И 	Д. Н. Мамин-Сибиряк. Хлеб (1895) 	Д. Н. Мамин-Сибиряк 	1852 	Хлеб 	1895 	художественная 	роман 	 	Д. Н. Мамин-Сибиряк. Собр.соч.в 8 томах 	1955 	 Кто шубу принесет в заклад, кто телегу, кто снасть какую-нибудь…  Деньги деньгами, да еще отработай…  И еще благодарят.  [Д. Н. Мамин-Сибиряк. Хлеб (1895)] [омонимия не снята]
Topic change	Ungoverned	Concrete		no		  Стало быть, 	 деньги 	  	деньгами, а материи, вещи и 	М. Е. Салтыков-Щедрин. Письма к тетеньке (1881-1882) 	М. Е. Салтыков-Щедрин 	1826 	Письма к тетеньке 	1881-1882 	художественная 	письмо литературное, цикл 	 	М. Е. Салтыков-Щедрин. Собрание сочинений в 10 тт. Т. 7 	1988 	 Стало быть, деньги деньгами, а материи, вещи и бакалея ― само собой.  [М. Е. Салтыков-Щедрин. Письма к тетеньке (1881-1882)] [омонимия не снята]
Topic change	Ungoverned	Concrete		no		  	 Деньги 	  	деньгами, а тоже и время 	А. Н. Островский. Волки и овцы (1875) 	А. Н. Островский 	1823 	Волки и овцы 	1875 	художественная 	пьеса 	 	 	 	 Деньги деньгами, а тоже и время надо знать.  [А. Н. Островский. Волки и овцы (1875)] [омонимия не снята]
Topic change	Ungoverned	Concrete		no		  Но радость радостью, а 	 деньги 	  	деньгами: она могла радоваться его 	А. К. Шеллер-Михайлов. Лес рубят - щепки летят (1871) 	А. К. Шеллер-Михайлов 	1838 	Лес рубят - щепки летят 	1871 	художественная 	роман 	 	Шеллер-Михайлов А. К. Лес рубят - щепки летят 	1984 	 Но радость радостью, а деньги деньгами: она могла радоваться его определению в полк, но не могла дать ему многого на обмундировку, тогда как он желал добыть от своего «кошелька» не только на обмундировку, но и на кутежи с приятелями по случаю определения на службу.  [А. К. Шеллер-Михайлов. Лес рубят - щепки летят (1871)] [омонимия не снята]
Topic change	Ungoverned	Concrete		no		  	 Деньги 	  	деньгами, но и честь ― честью 	Кондратий Биркин (П. П. Каратыгин). Временщики и фаворитки XVI, XVII и XVIII столетий. Книга первая (1870) 	Кондратий Биркин (П. П. Каратыгин) 	1832 	Временщики и фаворитки XVI, XVII и XVIII столетий. Книга первая 	1870 	учебно-научная ,  нехудожественная 	монография 	история 	К. Биркин. Временщики и фаворитки XVI, XVII и XVIII столетий 	1992 	" Деньги деньгами, но и честь ― честью; Генриэтта объявила королю, что ответит ему взаимностью тогда только, когда он даст ей, кроме денег, небольшой документ, нечто вроде сохранной расписки, содержание которой увидим ниже.  [Кондратий Биркин (П. П. Каратыгин). Временщики и фаворитки XVI, XVII и XVIII столетий. Книга первая (1870)] [омонимия не снята]"
Topic change	Ungoverned	Concrete		no		 меня, брат, дружба дружбой, а 	 деньги 	  	деньгами.  	В. В. Крестовский. Панургово стадо (Ч. 3-4) (1869) 	В. В. Крестовский 	1840 	Панургово стадо (Ч. 3-4) 	1869 	художественная 	роман 	 	Крестовский В. В. Кровавый пуф. Панургово стадо 	2007 	 ― У меня, брат, дружба дружбой, а деньги деньгами.  [В. В. Крестовский. Панургово стадо (Ч. 3-4) (1869)] [омонимия не снята]
Topic change	Ungoverned	Concrete		no		  [Акулина Гавриловна Красавина, жен]   Ну 	 деньги 	  	деньгами ― это само по себе 	А. Н. Островский. За чем пойдешь, то и найдешь (Женитьба Бальзаминова) (1861) 	А. Н. Островский 	1823 	За чем пойдешь, то и найдешь (Женитьба Бальзаминова) 	1861 	художественная 	пьеса 	 	Собрание сочинений в 10 томах. Том 2. М.: Гос. изд-во худ. лит-ры, 1959 	1959 	 [Акулина Гавриловна Красавина, жен]   Ну деньги деньгами ― это само по себе, а еще дом.  [А. Н. Островский. За чем пойдешь, то и найдешь (Женитьба Бальзаминова) (1861)] [омонимия не снята]
Topic change	Ungoverned	Concrete		no		 не справиться?   Любовь любовью, а 	 деньги 	  	деньгами.   Ведь это дело вечное 	А. Н. Островский. Не сошлись характерами! (1857) 	А. Н. Островский 	1823 	Не сошлись характерами! 	1857 	художественная 	пьеса 	 	Полное собрание сочинений. Том II. М.: ГИХЛ, 1959 	1959 	 [Устинья Филимоновна Перешивкина, жен]   Отчего же не справиться?   Любовь любовью, а деньги деньгами.   Ведь это дело вечное.  [А. Н. Островский. Не сошлись характерами! (1857)] [омонимия не снята]
Topic change	Ungoverned	Concrete		no		 ему хлѣбъ-отъ хлѣбомъ, а 	 деньги 	  	деньгами.  	П. И. Мельников-Печерский. Красильниковы. Изъ дорожныхъ записокъ // «Москвитянин», 1852 	П. И. Мельников-Печерский 	1818 	Красильниковы. Изъ дорожныхъ записокъ 	1852 	художественная 	рассказ 	 	«Москвитянин» 	1852 	" Подати у насъ, слава Богу, не больно еще тяжелы; такъ вѣдь не на однѣ подати мужику деньги нужны: надо упряжь справить, надо кушакъ купить, шапку, платокъ женѣ, въ храмовой праздникъ винца хлѣбнуть, а тамъ еще свадьбы да родины, молебны да крестины, попъ съ праздничнымъ придетъ ― ему хлѣбъ-отъ хлѣбомъ, а деньги деньгами.  [П. И. Мельников-Печерский. Красильниковы. Изъ дорожныхъ записокъ // «Москвитянин», 1852] [омонимия не снята]"
Topic change	Ungoverned	Concrete		no		  Искусство искусством, 	 деньги 	  	"деньгами; одно не только не "	И. И. Панаев. Белая горячка (1840) 	И. И. Панаев 	1812 	Белая горячка 	1840 	художественная 	повесть 	 	И. И. Панаев. Избранная проза 	1988 	" Искусство искусством, деньги деньгами; одно не только не помешает другому, а еще пособит.  [И. И. Панаев. Белая горячка (1840)] [омонимия не снята]"
Topic change	Ungoverned	Concrete		no		   	 Догадки 	  	догадками, а главное одно: есть 	Константин Серафимов. Экспедиция во мрак (1978-1996) 	Константин Серафимов 	1953 	Экспедиция во мрак 	1978-1996 	публицистика ,  нехудожественная 	монография 	спорт 	 	1994 	  Догадки догадками, а главное одно: есть неизвестный пока нам способ подъема по веревке.  [Константин Серафимов. Экспедиция во мрак (1978-1996)] [омонимия не снята]
Topic change	Ungoverned	Concrete		no		  	 Догадки 	  	догадками, а денег, значит нет 	Александр Болдырев. Осадная запись (блокадный дневник) (1941-1948) 	Александр Болдырев 	1909 	Осадная запись (блокадный дневник) 	1941-1948 	бытовая ,  нехудожественная 	дневник, записные книжки 	 	Болдырев А. Н. Осадная запись (блокадный дневник) 	1998 	 Догадки догадками, а денег, значит нет и что бы завтра ехать нужно опять занимать.  [Александр Болдырев. Осадная запись (блокадный дневник) (1941-1948)] [омонимия не снята]
Topic change	Ungoverned	Concrete		no		  	 Дождики 	  	дождиками, но бывают и чудеса 	Е. Л. Шварц. Обыкновенное чудо (1956) 	Е. Л. Шварц 	1896 	Обыкновенное чудо 	1956 	художественная 	пьеса, притча 	 	Е. Л. Шварц. Пьесы 	1972 	 Дождики дождиками, но бывают и чудеса, и удивительные превращения, и утешительные сны.  [Е. Л. Шварц. Обыкновенное чудо (1956)] [омонимия не снята]
Topic change	Ungoverned	Concrete		no		 Катюх, мы тут подумали, что 	 доктора 	 ―  	докторами, а подстраховаться не помешает 	Марина Зосимкина. Ты проснешься. Книга первая (2015) 	Марина Зосимкина 	 	Ты проснешься. Книга первая 	2015 	художественная 	роман 	 	М. Зосимкина. Ты проснешься. Монреаль: Accent Graphics Communications 	2015 	  ― Катюх, мы тут подумали, что доктора ― докторами, а подстраховаться не помешает.  [Марина Зосимкина. Ты проснешься. Книга первая (2015)] [омонимия не снята]
Topic change	Ungoverned	Concrete		no		   ― 	 Документы 	  	документами, а вывеска вывеской, ― угрюмо 	М. А. Шолохов. Поднятая целина. Книга 2 (1959) 	М. А. Шолохов 	1905 	Поднятая целина. Книга 2 	1959 	художественная 	роман 	 	Шолохов М. А. Собр. соч.: В 8 т. Т. 7 	1960 	  ― Документы документами, а вывеска вывеской, ― угрюмо ответил Размётнов и стал не спеша свертывать папироску.  [М. А. Шолохов. Поднятая целина. Книга 2 (1959)] [омонимия не снята]
Topic change	Ungoverned	Concrete		no		 отправки ночного еще три часа.  	 Долоссы 	  	Долоссами, а дело делом.  В 	Я. Ларри. Страна счастливых (1931) 	Я. Ларри 	1900 	Страна счастливых 	1931 	художественная 	повесть 	 	Ларри Я. Страна счастливых 	1931 	 Ты можешь лететь куда угодно, однако до отправки ночного еще три часа.  Долоссы Долоссами, а дело делом.  В поход, товарищи!  [Я. Ларри. Страна счастливых (1931)] [омонимия не снята]
Topic change	Ungoverned	Concrete		no		  Но 	 дома 	  	домами, а Дэвиду хотелось славы 	Родион Нахапетов. Влюбленный (1998) 	Родион Нахапетов 	1944 	Влюбленный 	1998 	публицистика ,  нехудожественная 	мемуары 	 	Р. Нахапетов. Влюбленный 	1998 	 Но дома домами, а Дэвиду хотелось славы, хотелось особого положения в обществе.  [Родион Нахапетов. Влюбленный (1998)] [омонимия не снята]
Topic change	Ungoverned	Concrete		no		  Но 	 доплаты 	  	доплатами, а основные-то средства 	Виктор Решетень. Министр образования России Владимир Филиппов: «Иного нам не дано» // «Красноярский рабочий», 2003 	Виктор Решетень 	 	Министр образования России Владимир Филиппов: «Иного нам не дано» 	2003 	публицистика ,  нехудожественная 	статья 	политика и общественная жизнь 	«Красноярский рабочий» 	2003 	 Но доплаты доплатами, а основные-то средства поступают из бюджета, более стабильного и бесхлопотного источника.  [Виктор Решетень. Министр образования России Владимир Филиппов: «Иного нам не дано» // «Красноярский рабочий», 2003] [омонимия не снята]
Topic change	Ungoverned	Concrete		no		  	 Драйвера 	  	драйверами, но люди, которые сегодня 	Павел Рыбкин. Теперь уже многое поздно // «Русский репортер», 2014 	Павел Рыбкин 	 	Теперь уже многое поздно 	2014 	публицистика, нехудожественная 	статья 	строительство и архитектура, бизнес, коммерция, экономика, финансы 	«Русский репортер» 	2014 	 Драйвера драйверами, но люди, которые сегодня спешат взять ипотеку, пока она не подорожала, и купить квартиру, как говорится, на черный день, совершенно не хотят думать вот о чем: когда черный день действительно придет (если только этого уже не случилось!  [Павел Рыбкин. Теперь уже многое поздно // «Русский репортер», 2014] [омонимия не снята]
Topic change	Ungoverned	Human + animals		no		 Сидели бы гориллы-гориллами и 	 дураки 	- 	дураками под древом жизни да 	А. В. Амфитеатров. Жар-цвет (1895) 	А. В. Амфитеатров 	1862 	Жар-цвет 	1895 	художественная 	роман 	 	А. В. Амфитеатров. Собрание сочинений в 10 томах. Т. 1 	2000 	 Сидели бы гориллы-гориллами и дураки-дураками под древом жизни да яблоки жевали бы…  [А. В. Амфитеатров. Жар-цвет (1895)] [омонимия не снята]
